Question,1,2,3,N
Chile ,34,0,0,36
Argentina ,12,0,0,36
Suiza ,22,0,0,36
Italia ,10,0,0,36
Francia ,10,0,0,36
España ,31,0,0,36
Alemania ,4,0,0,36
Brasil ,12,0,0,36
Bolivia ,19,0,0,36
