Question,1,2,3,N
Chile ,0,0,34,36
Argentina ,0,0,10,36
Suiza ,0,0,20,36
Italia ,0,0,12,36
Francia ,0,0,21,36
España ,0,0,10,36
Alemania ,0,0,15,36
Brasil ,0,0,17,36
Bolivia ,0,0,19,36
