Nombre,año,DATA
2010,A2012,https://raw.githubusercontent.com/pihnen2/IDI2/master/data%203%20-%20copia(3).csv
2011,A2013,https://raw.githubusercontent.com/pihnen2/IDI2/master/data%203%20-%20copia.csv
2012,A2014,https://raw.githubusercontent.com/pihnen2/IDI2/master/data%203%20-%20copia%20-%202015.csv
2013,A2015,https://raw.githubusercontent.com/pihnen2/IDI2/master/data%203%20-%20copia%20-%202016.csv
2014,A2016,https://raw.githubusercontent.com/pihnen2/IDI2/master/data%203%20-%20copia.csv
2015,A2017,https://raw.githubusercontent.com/pihnen2/IDI2/master/data%203%20-%20copia.csv
