Question,1,2,3,N
Chile,93,87,140,640
Argentina,2,2,1,10
Suiza,2,1,7,20
Italia,2,5,3,20
Francia,8,4,7,38
España,3,3,5,22
Alemania,12,10,8,30
Brasil,2,4,3,18
Bolivia,3,3,9,30
