Nombre,año,DATA
2010,A2010,https://raw.githubusercontent.com/pihnen2/IDI2/master/folder2/2010.csv
2011,A2011,https://raw.githubusercontent.com/pihnen2/IDI2/master/folder2/2011.csv
2012,A2012,https://raw.githubusercontent.com/pihnen2/IDI2/master/folder2/2012.csv
2013,A2013,https://raw.githubusercontent.com/pihnen2/IDI2/master/folder2/2013.csv
2014,A2014,https://raw.githubusercontent.com/pihnen2/IDI2/master/folder2/2014.csv
