Question,1,2,3,N,4,N2,5,N3
Albania,1374000000,404435780,180818730,1959254510,3156000,2889000,3959000,
Alemania,96235000000,169666137179,11530000000,277431137179,30411000,81410000,82729000,
Bulgaria,923000000,363343741,387565191,1673908932,6541000,7178000,3758000,
Croacia,962000000,2065795250,478615207,3506410457,10369000,4224000,2680000,
Dinamarca,9600000000,24270986400,1323669680,35194656080,8443000,5676000,7843000,
España,15401000000,47510475280,5316000000,68227475280,57464000,46560000,12422000,
Francia,5839000000,133423178552,12006000000,151268178552,81980000,66810000,25450000,
Georgia,50087000000,283816186,177587263,50548403449,4428000,36790000,2734000,
Hungría,471000000,5466896744,152691443,6090588187,10353000,9845000,16143000,
India,2457000000,87197839118,5411529106,95066368224,6578000,1311000000,14920000,
Israel,14107000000,15615639750,1411415654,31134055404,2886000,8380000,4349000,
Nueva Zelandia,4851000000,11851993967,667817497,17370811464,2473000,4596000,2169000,
Reino Unido,71417000000,139030856832,5560488346,216008345178,29282000,65140000,56538000,
Rumania,2109000000,5412955954,3091965107,10613921061,7937000,19830000,11149000,
Turquía,4585000000,23048846245,4798789713,32432635958,35698000,78670000,5803000,
